timestamp,user_id,source,context,track_name,artists,track_genre,distance,label
2026-08-31T03:54:28.541707+00:00,형민,mood,mood:장맛비라 꿀꿀하다|artist:billie eilish,ocean eyes,Billie Eilish,electro,1.687901781049924,like
2026-08-31T03:55:17.058824+00:00,형민,mood,mood:장맛비라 꿀꿀하다|artist:billie eilish,Training Wheels,Melanie Martinez,electro,1.1256073615018998,like
2026-08-31T03:56:43.762226+00:00,형민,mood,mood:장맛비라 꿀꿀하다|artist:billie eilish,Tongue,Maribou State;Holly Walker,electro,1.1913248760951192,skip
2026-08-31T03:57:17.882229+00:00,형민,mood,mood:장맛비라 꿀꿀하다|artist:billie eilish,Until I Found You,Stephen Sanchez,pop,1.3417855056545587,like
2026-08-31T03:58:48.254367+00:00,형민,mood,mood:장맛비라 꿀꿀하다|artist:billie eilish,drivers license,Olivia Rodrigo,pop,1.3458222981175931,like
2026-08-31T03:59:26.491804+00:00,형민,mood,mood:장맛비라 꿀꿀하다|artist:billie eilish,Ik Lamha,Azaan Sami Khan,pop,1.406538317238485,skip
2026-08-31T03:59:49.305599+00:00,형민,mood,mood:장맛비라 꿀꿀하다|artist:billie eilish,Munbe Vaa,Joshua Aaron,pop,1.4469193059321501,skip
2026-08-31T04:01:18.779299+00:00,형민,mood,mood:장맛비라 꿀꿀하다|artist:billie eilish,Control,Halsey,electro,1.4482693276782,skip
2026-08-31T04:04:59.501164+00:00,형민,mood,mood:장맛비라 꿀꿀하다|artist:billie eilish,Moral of the Story,Ashe,electro,1.4633889980481256,like
2026-08-31T04:09:35.230384+00:00,형민,mood,mood:장맛비라 꿀꿀하다|artist:billie eilish,you broke me first,Tate McRae,pop,1.4747471697948784,like
2026-08-31T04:16:50.353000+00:00,형민,mood,mood:바람불고 시원하고 감성있는 음악 듣고싶어|artist:Justin bieber,"10,000 Hours (with Justin Bieber)",Dan + Shay;Justin Bieber,country,1.4346685722006074,like
2026-08-31T04:22:22.801232+00:00,형민,mood,mood:바름 부는 날씨이고 감성있는 곡|artist:Justin bieber,85%,Loote;gnash,edm,0.9370707085196692,skip
2026-08-31T04:22:28.049220+00:00,형민,mood,mood:바름 부는 날씨이고 감성있는 곡|artist:Justin bieber,2U (feat. Justin Bieber),David Guetta;Justin Bieber,edm,1.3850768272148355,like
2026-08-31T04:30:43.933992+00:00,형민,mood,mood:바람 부는 날씨이고 감성있는 곡|artist:Justin bieber,2U (feat. Justin Bieber),David Guetta;Justin Bieber,edm,1.3850768272148355,like
2026-08-31T05:06:30.554290+00:00,guest,mood,mood:시원하고 기분 좋은 상태 |artist:,Passion,RAC;Louis The Child,alt-rock,0.8297460828805171,skip
2026-08-31T05:20:44.519038+00:00,형민,mood,mood:시원한 바람이 불어|artist:,I Think We're Alone Now,The Rubinoos,power-pop,0.8695384240776998,skip
2026-08-31T05:22:03.898273+00:00,형민,mood,mood:시원한 바람이 불어|artist:,Kalmalısın,Barış Kocatürk,singer-songwriter,0.9341813334333734,skip
2026-08-31T05:24:07.556366+00:00,형민,mood,mood:시원한 바람이 불어|artist:,I Guess That's Why They Call It The Blues,Elton John,piano,0.987831043747261,skip
2026-08-31T05:24:51.366656+00:00,형민,mood,mood:시원한 바람이 불어|artist:,Çökertme,Cem Karaca,psych-rock,1.0105325349228553,skip
2026-08-31T05:24:52.369055+00:00,형민,mood,mood:시원한 바람이 불어|artist:,Shubhaarambh,Amit Trivedi;Shruti Pathak;Divya Kumar,pop-film,1.0245028449760887,skip
2026-08-31T05:24:58.264984+00:00,형민,mood,mood:시원한 바람이 불어|artist:,Xanadu,Olivia Newton-John,disco,1.0562738784557502,skip
2026-08-31T05:25:03.266933+00:00,형민,mood,mood:시원한 바람이 불어|artist:,Sysselmannen,Lars Winnerbäck,singer-songwriter,1.0607160627754908,skip
2026-08-31T05:25:10.173822+00:00,형민,mood,mood:시원한 바람이 불어|artist:,Man in the Rain,Mike Oldfield,new-age,0.9977453448267136,skip
2026-08-31T05:25:32.528021+00:00,형민,mood,mood:시원한 바람이 불어|artist:,Save a Prayer - 2009 Remaster,Duran Duran,synth-pop,1.005231880691498,skip
2026-08-31T05:27:29.234701+00:00,형민,mood,mood:시원한 바람이 불어|artist:,Lose Control,MEDUZA;Becky Hill;Goodboys,dance,1.0342057770681574,skip
2026-08-31T05:30:36.166493+00:00,형민,mood,mood:시원해|artist:lauv,"fuck, i'm lonely (with Anne-Marie)",Lauv;Anne-Marie,electro,2.1002247763368125,like
2026-08-31T05:36:52.781249+00:00,형민,mood,mood:시원한 날씨|artist:lauv,A Different Way (with Lauv),DJ Snake;Lauv,edm,1.5320151691553252,like
2026-08-31T05:41:42.916270+00:00,gudals,mood,mood:시원한 바람 |artist:lauv,if I were u (with Lauv),blackbear;Lauv,electro,2.15082573098542,like
2026-08-31T05:51:59.533783+00:00,guest,mood,mood:시원한 바람|artist:Justin bieber,2U (feat. Justin Bieber),David Guetta;Justin Bieber,edm,1.5792270638908066,like
